mode,trace,step,step_instances,step_tokens,prefill_sequences,decode_sequences,block,frame,op,input_dims,input_types,kernel,grid,block_dims,graph,count,total_us,mean_us,min_us,max_us
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,mlp,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,5120],[34816,5120],[272,40],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<34816u, 5120u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<34816u, 128u, 16u, 1u, 1u, 272u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,448,22237.752999999986,49.63784151785711,48.064,51.52
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,mlp,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,17408],[5120,17408],[40,136],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<5120u, 17408u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<5120u, 128u, 16u, 1u, 1u, 40u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,448,12107.371999999996,27.02538392857142,26.368,28.417
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,5120],[16384,5120],[128,40],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<16384u, 5120u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<16384u, 128u, 16u, 1u, 1u, 128u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,336,7452.739000000005,22.180770833333348,21.632,23.393
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::copy_,"[[1,5120],[1,5120],[]]","[""float"",""c10::BFloat16"",""Scalar""]","void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",10x1x1,128x1x1,False,1792,4903.483999999976,2.736319196428558,2.208,4.064
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,6144],[5120,6144],[40,48],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<5120u, 6144u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<5120u, 128u, 16u, 1u, 1u, 40u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,336,3818.6979999999962,11.365172619047607,10.976,12.511
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,model_executor/layers/layernorm.py:151 forward_native,aten::copy_,"[[5120],[5120],[]]","[""float"",""c10::BFloat16"",""Scalar""]","void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",10x1x1,128x1x1,False,903,3141.0689999999922,3.478481727574742,3.04,4.32
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::mean,"[[1,5120],[],[],[]]","[""float"",""ScalarList"",""Scalar"",""""]","void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",1x1x1,512x1x1,False,896,2272.220000000003,2.5359598214285746,2.336,3.297
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,attention,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,5120],[14336,5120],[112,40],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void deep_gemm::fp8_gemm_kernel_swapAB<14336u, 5120u, 128u, 16u, 128u, 1u, 8u, 128u, 128u, 1u, deep_gemm::NormalSchedulerSwapAB<14336u, 128u, 16u, 1u, 1u, 112u, 16u>, deep_gemm::NormalSchedulerInputSwapAB>(__nv_bfloat16*, float*, deep_gemm::NormalSchedulerInputSwapAB, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",132x1x1,384x1x1,False,112,2250.93,20.097589285714285,19.52,21.153
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,mlp,model_executor/layers/activation.py:139 forward_cuda,_C::silu_and_mul,"[[1,17408],[1,34816]]","[""c10::BFloat16"",""c10::BFloat16""]","void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &(c10::BFloat16 vllm::silu_kernel<c10::BFloat16>(c10::BFloat16 const&, float)), &(__nv_bfloat162 vllm::packed_silu_kernel<__nv_bfloat162>(__nv_bfloat162 const&, float)), true, true, false, false>(c10::BFloat16*, c10::BFloat16 const*, int, float, float, float)",1x1x1,1024x1x1,False,448,2093.6820000000025,4.673397321428577,4.224,5.76
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py:889 forward_cuda,vllm::qwen_gdn_attention_core_fused_norm_packed,"[[1,16384],[1,96],[1,48,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""""]",fused_recurrent_gated_delta_rule_packed_decode_kernel,4x48x1,32x1x1,False,336,1895.9219999999991,5.642624999999997,5.504,6.624
