point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,kind,tokens,batch,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,state_bytes,achieved_tflops,achieved_gbps,us_per_token,per_step_us,bandwidth_util,compute_util,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops
c5a51f1746ae,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:45+00:00,prefill,128,1,403.424009680748,388.5983943939209,417.5615906715393,382.9120099544525,403.50656151771545,50,10,False,65.5359998345375,,False,403.424009680748,337.8880098462105,815792128.0,10047488,3207168,2.022170491651159,24.905528076901376,3.1517500756308436,19364.352464675903,0.005823635016306717,0.002824097592479231,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,65.5359998345375,graph,153.31250038707688,12.44800003142818
467572c696c6,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,128,4,435.2000057697296,418.8223868608475,446.0640102624893,412.03200817108154,434.97792065143585,50,10,False,74.0479975938797,,False,435.2000057697296,361.1520081758499,3263168512.0,40189952,12828672,7.498089312357657,92.34823406979702,0.8500000112690032,20889.60027694702,0.021593696305590226,0.010471587861977579,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,74.0479975938797,graph,542.7554195377976,44.06828838096374
1628f6865b20,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,128,16,442.3840045928955,426.78399682044983,454.7583907842636,422.9759871959686,442.2156798839569,50,10,False,222.1119999885559,,False,442.3840045928955,220.2720046043396,13052674048.0,160759808,51314688,29.50530288727718,363.39426003419686,0.21600781474262476,21234.432220458984,0.08497212068443377,0.041206147153938576,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,222.1119999885559,graph,723.7781299897484,58.76618124492385
c2577d7e8a8c,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,512,1,404.1280001401901,390.204793214798,415.23198783397675,384.19198989868164,405.5846393108368,50,10,False,121.45600095391273,,False,404.1280001401901,282.6719991862774,3263168512.0,30568448,3207168,8.07459149296268,75.64050991120622,0.7893125002738088,19398.144006729126,0.017686945677684304,0.01127671207233844,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,121.45600095391273,graph,251.68330720521084,26.867083440679316
a1d7dd09ce7f,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,512,4,443.90399754047394,427.53599286079407,455.9295892715454,421.4720129966736,450.1433593034744,50,10,False,156.8479984998703,,False,443.90399754047394,287.05599904060364,13052674048.0,122273792,12828672,29.40427236591825,275.4509819183402,0.21674999879905954,21307.39188194275,0.06440843087617404,0.041065051211081796,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,156.8479984998703,graph,779.5687109140963,83.21862040216467
090ce3eb50bc,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,512,16,522.7039754390717,521.3152050971985,525.0527918338776,519.711971282959,524.2515206336975,50,10,False,509.71201062202454,,False,522.7039754390717,12.99196481704712,52210696192.0,489095168,51314688,99.88578362761251,935.7020244377513,0.0638066376268398,25089.79082107544,0.21879427962816891,0.1394972393427172,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,509.71201062202454,graph,959.5519779946625,102.43175578359424
15d1f3b37248,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,1024,1,409.2320054769516,392.4000084400177,416.90240800380707,389.18399810791016,406.8812793493271,50,10,False,137.4559998512268,,False,409.2320054769516,271.7760056257248,6526337024.0,57929728,3207168,15.947767859441218,141.55717838462826,0.39964063034858555,19643.136262893677,0.03310017512195881,0.022272134324584452,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,137.4559998512268,graph,421.44197461514426,47.47946274490507
305149e1573f,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,1024,4,442.1439915895462,427.3952066898346,455.0720125436783,419.6479916572571,443.20384085178375,50,10,False,263.7760043144226,,False,442.1439915895462,178.3679872751236,26105348096.0,231718912,12828672,59.04263903292906,524.0802010380155,0.10794531044666655,21222.911596298218,0.1225451554648494,0.08245703091551175,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,263.7760043144226,graph,878.4685043746043,98.9678654199427
873eb81b21c8,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,1024,16,921.6159880161285,918.9600169658661,923.1423914432526,916.8959856033325,922.8825628757477,50,10,False,903.551995754242,,False,921.6159880161285,18.063992261886597,104421392384.0,926875648,51314688,113.30249663829899,1005.7069973310613,0.05625097583106253,44237.56742477417,0.2351634732545104,0.15823458471933088,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,903.551995754242,graph,1025.813292821393,115.56766281815804
87646397b938,gdn_cold,gdn,flashinfer,cold,ok,,,,2026-09-22T00:20:48+00:00,prefill,4096,1,412.992000579834,396.69439792633057,426.8607944250107,393.21601390838623,414.68480110168457,50,10,False,347.05600142478943,,False,412.992000579834,65.93599915504456,26105348096.0,222097408,3207168,63.21029961681709,537.7765372892911,0.10082812514156103,19823.61602783203,0.1257477562345161,0.08827745024702832,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,7b484ecf5cb445a7,347.05600142478943,graph,639.9468877881679,75.21941124437606
