point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,kind,new_tokens,batch,history,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,state_bytes,achieved_tflops,achieved_gbps,us_per_token,per_step_us,bandwidth_util,compute_util,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops,context,fraction
e1578f7bc959,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:05+00:00,warm,64,1,0,397.69600331783295,379.65438663959503,415.8016115427017,373.8560080528259,398.36224019527435,50,10,False,59.90400165319443,,False,397.69600331783295,337.7920016646385,407896064.0,9834496,6414336,1.02564788330049,24.728676974257674,6.21400005184114,19089.40815925598,0.005782282097755935,0.0014323865024829015,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,59.90400165319443,graph,164.17093564024978,6.809162205247245,,
3fc86fd6139e,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:05+00:00,warm,64,1,1024,397.64799177646637,379.145610332489,416.4288103580475,376.1279881000519,396.3769602775574,50,10,False,61.3120011985302,,False,397.64799177646637,336.3359905779362,407896064.0,9834496,6414336,1.0257717187951862,24.7316626850422,6.213249871507287,19087.103605270386,0.005782980243557928,0.001432559447110409,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,61.3120011985302,graph,160.400831937545,6.652793189366299,,
2f09a1a41f17,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:05+00:00,warm,64,1,65536,396.8320041894913,377.7055859565735,415.4303967952728,374.62401390075684,394.9849581718445,50,10,False,60.047999024391174,,False,396.8320041894913,336.7840051651001,407896064.0,9834496,6414336,1.0278809664888457,24.782517277270635,6.200500065460801,19047.93620109558,0.005794871522599556,0.0014355051538933925,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,60.047999024391174,graph,163.77724753168349,6.792833576924267,,
87fe396b144d,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,8,0,436.7680102586746,420.2048033475876,458.61440896987915,414.94399309158325,437.6723223924637,50,10,False,92.06400066614151,,False,436.7680102586746,344.7040095925331,3263168512.0,78675968,51314688,7.471171045854292,180.1321666241179,0.8530625200364739,20964.864492416382,0.04212012649867585,0.010433994685764333,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,92.06400066614151,graph,854.5790692423685,35.44456561075886,,
21465e1269bf,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,8,1024,436.0320121049881,418.4768110513687,454.90879714488983,411.48799657821655,436.0876804590225,50,10,False,92.49599650502205,,False,436.0320121049881,343.53601559996605,3263168512.0,78675968,51314688,7.483781973361837,180.43621985501457,0.8516250236425549,20929.53658103943,0.042191222965163276,0.010451606697293543,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,92.49599650502205,graph,850.5878197196168,35.27902433942454,,
cd63dad62e7f,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,8,65536,435.4880005121231,418.6080127954483,457.65119791030884,411.77600622177124,441.96991980075836,50,10,False,91.80799871683121,,False,435.4880005121231,343.6800017952919,3263168512.0,78675968,51314688,7.493130713504378,180.66162077365854,0.8505625010002404,20903.42402458191,0.04224392823920804,0.010464662843962812,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,91.80799871683121,graph,856.9620196456401,35.54340098475278,,
0a06f5e73eec,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,32,0,438.7519955635071,419.7248011827469,453.39838564395905,414.14400935173035,439.14751946926117,50,10,False,308.55999886989594,,False,438.7519955635071,130.19199669361115,13052674048.0,314703872,205258752,29.749549130223144,717.2705199797736,0.2142343728337437,21060.09578704834,0.16771865681470155,0.04154725351936307,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,308.55999886989594,graph,1019.9114374922416,42.3018994549052,,
5754bc79c3f6,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,32,1024,438.9279931783676,422.69759476184845,458.20159912109375,410.46398878097534,441.5123188495636,50,10,False,309.2159926891327,,False,438.9279931783676,129.71200048923492,13052674048.0,314703872,205258752,29.73762040894888,716.982914945034,0.2143203091691248,21068.543672561646,0.16765140641366597,0.041530594254889044,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,309.2159926891327,graph,1017.747721465314,42.212157057226925,,
1da1d0f5186c,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,64,32,65536,442.6240026950836,424.05760884284973,474.4671940803528,420.19200325012207,452.15296268463135,50,10,False,309.07200276851654,,False,442.6240026950836,133.55199992656708,13052674048.0,314703872,205258752,29.489304620905916,710.9959470878364,0.2161250013159588,21245.952129364014,0.1662514796364853,0.04118380449503348,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,309.07200276851654,graph,1018.2218679823341,42.23182278265421,,
11681dab17d8,gdn_warm,gdn,flashinfer,warm,ok,,,,2026-09-22T00:22:08+00:00,warm,512,1,0,407.4240028858185,391.1103904247284,420.50879895687103,387.7120018005371,405.896959900856,50,10,False,120.4800009727478,,False,407.4240028858185,286.9440019130707,3263168512.0,33775616,6414336,8.009269186122328,82.90040783253924,0.7957500056363642,19556.352138519287,0.019384520433736112,0.011185485061438682,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,fd68bfc8b9be9964,120.4800009727478,graph,280.34209601010826,27.084731786631696,,
